timestamp,username,ip_address,location,incident_type,risk_score,severity,ml_anomaly_score,is_ml_anomaly,reasons,recommended_action,decision_method,action_executed,action_type,action_details,action_timestamp,ticket_generated,ticket_id,ticket_path,timeline
2025-02-14 04:07:00,gjensen,205.222.7.131,"North Jenniferstad, Algeria",Brute Force Attempt,66.6,MEDIUM,35.97,0,"['High number of failed login attempts', 'Login attempt occurred during unusual hours', 'MFA is disabled', 'Suspicious activity flag detected', 'Blocked authentication attempt', 'ML anomaly model did not strongly confirm behavioral abnormality']",Temporarily block source IP for 15 minutes and enforce CAPTCHA or account lockout.,Adaptive Hybrid Scoring (Rule-Based SOC Logic + ML Behavioral Anomaly),True,Temporary IP Block,Source IP 205.222.7.131 was added to simulated block list.,2026-07-03T12:40:33.133660+00:00,False,,,"['1. Raw authentication log ingested', '2. Log normalized and parsed', '3. Features extracted', '4. SOC reasoning: High number of failed login attempts', '4. SOC reasoning: Login attempt occurred during unusual hours', '4. SOC reasoning: MFA is disabled', '4. SOC reasoning: Suspicious activity flag detected', '4. SOC reasoning: Blocked authentication attempt', '4. SOC reasoning: ML anomaly model did not strongly confirm behavioral abnormality', '5. ML anomaly score calculated: 35.97', '6. Final hybrid risk score assigned: 66.6', '7. Automated action executed: Temporary IP Block', '8. L2 escalation ticket not required']"
2025-02-14 04:15:00,debbie98,21.173.37.178,"West Michellemouth, Vanuatu",Brute Force Attempt,62.64,MEDIUM,41.38,0,"['High number of failed login attempts', 'Login attempt occurred during unusual hours', 'Expired token usage detected', 'Suspicious activity flag detected', 'Blocked authentication attempt', 'ML anomaly model did not strongly confirm behavioral abnormality']",Temporarily block source IP for 15 minutes and enforce CAPTCHA or account lockout.,Adaptive Hybrid Scoring (Rule-Based SOC Logic + ML Behavioral Anomaly),True,Temporary IP Block,Source IP 21.173.37.178 was added to simulated block list.,2026-07-03T12:40:33.139166+00:00,False,,,"['1. Raw authentication log ingested', '2. Log normalized and parsed', '3. Features extracted', '4. SOC reasoning: High number of failed login attempts', '4. SOC reasoning: Login attempt occurred during unusual hours', '4. SOC reasoning: Expired token usage detected', '4. SOC reasoning: Suspicious activity flag detected', '4. SOC reasoning: Blocked authentication attempt', '4. SOC reasoning: ML anomaly model did not strongly confirm behavioral abnormality', '5. ML anomaly score calculated: 41.38', '6. Final hybrid risk score assigned: 62.64', '7. Automated action executed: Temporary IP Block', '8. L2 escalation ticket not required']"
2025-02-14 05:12:00,martinhaley,199.168.166.79,"Manuelburgh, Barbados",Brute Force Attempt,65.33,MEDIUM,23.3,0,"['High number of failed login attempts', 'Login attempt occurred during unusual hours', 'MFA is disabled', 'Expired token usage detected', 'Suspicious activity flag detected', 'ML anomaly model did not strongly confirm behavioral abnormality']",Temporarily block source IP for 15 minutes and enforce CAPTCHA or account lockout.,Adaptive Hybrid Scoring (Rule-Based SOC Logic + ML Behavioral Anomaly),True,Temporary IP Block,Source IP 199.168.166.79 was added to simulated block list.,2026-07-03T12:40:33.145529+00:00,False,,,"['1. Raw authentication log ingested', '2. Log normalized and parsed', '3. Features extracted', '4. SOC reasoning: High number of failed login attempts', '4. SOC reasoning: Login attempt occurred during unusual hours', '4. SOC reasoning: MFA is disabled', '4. SOC reasoning: Expired token usage detected', '4. SOC reasoning: Suspicious activity flag detected', '4. SOC reasoning: ML anomaly model did not strongly confirm behavioral abnormality', '5. ML anomaly score calculated: 23.3', '6. Final hybrid risk score assigned: 65.33', '7. Automated action executed: Temporary IP Block', '8. L2 escalation ticket not required']"
2025-02-14 05:14:00,alexander23,61.217.154.54,"North Billside, Kazakhstan",Possible Brute Force Success,56.39,MEDIUM,68.93,0,"['High number of failed login attempts', 'Login attempt occurred during unusual hours', 'Expired token usage detected', 'Suspicious activity flag detected', 'ML anomaly model did not strongly confirm behavioral abnormality']","Force password reset, terminate active sessions, and escalate to L2 analyst.",Adaptive Hybrid Scoring (Rule-Based SOC Logic + ML Behavioral Anomaly),True,Force Password Reset,Password reset was simulated for user alexander23.,2026-07-03T12:40:33.155827+00:00,False,,,"['1. Raw authentication log ingested', '2. Log normalized and parsed', '3. Features extracted', '4. SOC reasoning: High number of failed login attempts', '4. SOC reasoning: Login attempt occurred during unusual hours', '4. SOC reasoning: Expired token usage detected', '4. SOC reasoning: Suspicious activity flag detected', '4. SOC reasoning: ML anomaly model did not strongly confirm behavioral abnormality', '5. ML anomaly score calculated: 68.93', '6. Final hybrid risk score assigned: 56.39', '7. Automated action executed: Force Password Reset', '8. L2 escalation ticket not required']"
2025-02-14 08:37:00,oscarsandoval,174.153.106.91,"Laurenmouth, Seychelles",Brute Force Attempt,58.72,MEDIUM,47.16,0,"['High number of failed login attempts', 'MFA is disabled', 'Suspicious activity flag detected', 'Blocked authentication attempt', 'ML anomaly model did not strongly confirm behavioral abnormality']",Temporarily block source IP for 15 minutes and enforce CAPTCHA or account lockout.,Adaptive Hybrid Scoring (Rule-Based SOC Logic + ML Behavioral Anomaly),True,Temporary IP Block,Source IP 174.153.106.91 was added to simulated block list.,2026-07-03T12:40:33.165313+00:00,False,,,"['1. Raw authentication log ingested', '2. Log normalized and parsed', '3. Features extracted', '4. SOC reasoning: High number of failed login attempts', '4. SOC reasoning: MFA is disabled', '4. SOC reasoning: Suspicious activity flag detected', '4. SOC reasoning: Blocked authentication attempt', '4. SOC reasoning: ML anomaly model did not strongly confirm behavioral abnormality', '5. ML anomaly score calculated: 47.16', '6. Final hybrid risk score assigned: 58.72', '7. Automated action executed: Temporary IP Block', '8. L2 escalation ticket not required']"
2025-02-14 08:43:00,iramos,198.207.63.119,"Bushfurt, Bahrain",Possible Brute Force Success,56.83,MEDIUM,28.32,0,"['High number of failed login attempts', 'Device change detected', 'MFA is disabled', 'Suspicious activity flag detected', 'ML anomaly model did not strongly confirm behavioral abnormality']","Force password reset, terminate active sessions, and escalate to L2 analyst.",Adaptive Hybrid Scoring (Rule-Based SOC Logic + ML Behavioral Anomaly),True,Force Password Reset,Password reset was simulated for user iramos.,2026-07-03T12:40:33.171348+00:00,False,,,"['1. Raw authentication log ingested', '2. Log normalized and parsed', '3. Features extracted', '4. SOC reasoning: High number of failed login attempts', '4. SOC reasoning: Device change detected', '4. SOC reasoning: MFA is disabled', '4. SOC reasoning: Suspicious activity flag detected', '4. SOC reasoning: ML anomaly model did not strongly confirm behavioral abnormality', '5. ML anomaly score calculated: 28.32', '6. Final hybrid risk score assigned: 56.83', '7. Automated action executed: Force Password Reset', '8. L2 escalation ticket not required']"
2025-02-14 09:35:00,sheila41,39.131.170.15,"West Gregoryfort, Dominica",Possible Brute Force Success,59.25,MEDIUM,52.45,0,"['High number of failed login attempts', 'MFA is disabled', 'Expired token usage detected', 'Suspicious activity flag detected', 'ML anomaly model did not strongly confirm behavioral abnormality']","Force password reset, terminate active sessions, and escalate to L2 analyst.",Adaptive Hybrid Scoring (Rule-Based SOC Logic + ML Behavioral Anomaly),True,Force Password Reset,Password reset was simulated for user sheila41.,2026-07-03T12:40:33.177530+00:00,False,,,"['1. Raw authentication log ingested', '2. Log normalized and parsed', '3. Features extracted', '4. SOC reasoning: High number of failed login attempts', '4. SOC reasoning: MFA is disabled', '4. SOC reasoning: Expired token usage detected', '4. SOC reasoning: Suspicious activity flag detected', '4. SOC reasoning: ML anomaly model did not strongly confirm behavioral abnormality', '5. ML anomaly score calculated: 52.45', '6. Final hybrid risk score assigned: 59.25', '7. Automated action executed: Force Password Reset', '8. L2 escalation ticket not required']"
2025-02-14 11:51:00,laneangela,205.49.26.139,"South Johnfurt, Malaysia",Brute Force Attempt,59.09,MEDIUM,50.94,0,"['High number of failed login attempts', 'MFA is disabled', 'Expired token usage detected', 'Suspicious activity flag detected', 'ML anomaly model did not strongly confirm behavioral abnormality']",Temporarily block source IP for 15 minutes and enforce CAPTCHA or account lockout.,Adaptive Hybrid Scoring (Rule-Based SOC Logic + ML Behavioral Anomaly),True,Temporary IP Block,Source IP 205.49.26.139 was added to simulated block list.,2026-07-03T12:40:33.186684+00:00,False,,,"['1. Raw authentication log ingested', '2. Log normalized and parsed', '3. Features extracted', '4. SOC reasoning: High number of failed login attempts', '4. SOC reasoning: MFA is disabled', '4. SOC reasoning: Expired token usage detected', '4. SOC reasoning: Suspicious activity flag detected', '4. SOC reasoning: ML anomaly model did not strongly confirm behavioral abnormality', '5. ML anomaly score calculated: 50.94', '6. Final hybrid risk score assigned: 59.09', '7. Automated action executed: Temporary IP Block', '8. L2 escalation ticket not required']"
2025-02-14 11:57:00,robertallen,205.19.70.241,"South Jennifershire, Djibouti",Brute Force Attempt,71.88,MEDIUM,43.77,0,"['High number of failed login attempts', 'Expired token usage detected', 'Suspicious activity flag detected', 'High threat level detected', 'Blocked authentication attempt', 'ML anomaly model did not strongly confirm behavioral abnormality']",Temporarily block source IP for 15 minutes and enforce CAPTCHA or account lockout.,Adaptive Hybrid Scoring (Rule-Based SOC Logic + ML Behavioral Anomaly),True,Temporary IP Block,Source IP 205.19.70.241 was added to simulated block list.,2026-07-03T12:40:33.193044+00:00,False,,,"['1. Raw authentication log ingested', '2. Log normalized and parsed', '3. Features extracted', '4. SOC reasoning: High number of failed login attempts', '4. SOC reasoning: Expired token usage detected', '4. SOC reasoning: Suspicious activity flag detected', '4. SOC reasoning: High threat level detected', '4. SOC reasoning: Blocked authentication attempt', '4. SOC reasoning: ML anomaly model did not strongly confirm behavioral abnormality', '5. ML anomaly score calculated: 43.77', '6. Final hybrid risk score assigned: 71.88', '7. Automated action executed: Temporary IP Block', '8. L2 escalation ticket not required']"
2025-02-14 12:14:00,ybell,171.147.211.85,"North Sabrinafort, Oman",Brute Force Attempt,74.36,MEDIUM,68.59,0,"['High number of failed login attempts', 'Expired token usage detected', 'Suspicious activity flag detected', 'High threat level detected', 'Blocked authentication attempt', 'ML anomaly model did not strongly confirm behavioral abnormality']",Temporarily block source IP for 15 minutes and enforce CAPTCHA or account lockout.,Adaptive Hybrid Scoring (Rule-Based SOC Logic + ML Behavioral Anomaly),True,Temporary IP Block,Source IP 171.147.211.85 was added to simulated block list.,2026-07-03T12:40:33.198998+00:00,False,,,"['1. Raw authentication log ingested', '2. Log normalized and parsed', '3. Features extracted', '4. SOC reasoning: High number of failed login attempts', '4. SOC reasoning: Expired token usage detected', '4. SOC reasoning: Suspicious activity flag detected', '4. SOC reasoning: High threat level detected', '4. SOC reasoning: Blocked authentication attempt', '4. SOC reasoning: ML anomaly model did not strongly confirm behavioral abnormality', '5. ML anomaly score calculated: 68.59', '6. Final hybrid risk score assigned: 74.36', '7. Automated action executed: Temporary IP Block', '8. L2 escalation ticket not required']"
